[16/12/25 11:02:16] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[16/12/25 11:02:23] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[16/12/25 11:02:40] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[16/12/25 11:03:13] | DEBUG | EXP:None | CALL home()
[16/12/25 11:03:13] | DEBUG | EXP:None | CALL move_z(120)
[16/12/25 11:03:14] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 120. Result: No valid response received.' (Duration: 0.558s)
[16/12/25 11:03:14] | DEBUG | EXP:None | RETURN home -> None (Duration: 1.066s)
[16/12/25 11:04:21] | DEBUG | EXP:None | CALL go_to_vial('rack1', 1)
[16/12/25 11:04:21] | DEBUG | EXP:None | CALL move_xy(np.float64(35.1), np.float64(8.05), module_name='rack1')
[16/12/25 11:04:22] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.1, Y=8.05. Result: Move XY: 2, Success' (Duration: 0.518s)
[16/12/25 11:04:22] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.1), np.float64(8.05)) (Duration: 0.528s)
[16/12/25 11:16:27] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[16/12/25 11:18:34] | INFO | EXP:Development | === START EXPERIMENT: Development ===
[16/12/25 11:19:35] | DEBUG | EXP:None | CALL go_to_vial('rack1', 1)
[16/12/25 11:19:35] | DEBUG | EXP:None | CALL move_xy(np.float64(35.1), np.float64(8.05), module_name='rack1')
[16/12/25 11:19:36] | DEBUG | EXP:None | RETURN move_xy -> 'Moved to X=35.1, Y=8.05. Result: Move XY: 2, Success' (Duration: 0.561s)
[16/12/25 11:19:36] | DEBUG | EXP:None | RETURN go_to_vial -> (np.float64(35.1), np.float64(8.05)) (Duration: 0.562s)
[16/12/25 11:21:28] | DEBUG | EXP:None | CALL move_z(45, allow_in_vial=True)
[16/12/25 11:21:29] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 45. Result: No valid response received.' (Duration: 0.555s)
[16/12/25 11:22:07] | DEBUG | EXP:None | CALL move_x(35.6)
[16/12/25 11:22:07] | DEBUG | EXP:None | CALL move_z(55)
[16/12/25 11:22:08] | DEBUG | EXP:None | RETURN move_z -> 'Moved Z to 55. Result: Move Z: 2, Success' (Duration: 0.535s)
